Bao cao Phan tich Phan hoi - 2025-06-20T17:11:23.324716700

Phan hoi Tieu cuc (Diem < 3):
Ma: 7407, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 6076, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 5709, Ten: Cuong, Diem: 2, Binh luan: Khong co binh luan
Ma: 7997, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 1967, Ten: An, Diem: 2, Binh luan: Hai long
Ma: 2815, Ten: Cuong, Diem: 1, Binh luan: Khong co binh luan
Ma: 5595, Ten: Em, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 10407, Ten: Em, Diem: 2, Binh luan: Trai nghiem kem
Ma: 6073, Ten: Cuong, Diem: 2, Binh luan: Can cai thien
Ma: 10300, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 3388, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 1306, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 2665, Ten: Duy, Diem: 2, Binh luan: Khong co binh luan
Ma: 6058, Ten: An, Diem: 1, Binh luan: Khong co binh luan
Ma: 6624, Ten: Cuong, Diem: 1, Binh luan: Khong co binh luan
Ma: 4384, Ten: Cuong, Diem: 1, Binh luan: Can cai thien
Ma: 1808, Ten: Cuong, Diem: 2, Binh luan: Trai nghiem kem
Ma: 1686, Ten: Duy, Diem: 2, Binh luan: Hai long
Ma: 1968, Ten: Duy, Diem: 2, Binh luan: Can cai thien
Ma: 4062, Ten: Duy, Diem: 1, Binh luan: Khong co binh luan
Ma: 5100, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 8127, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 2438, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 1236, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 5178, Ten: Cuong, Diem: 2, Binh luan: Trai nghiem kem
Ma: 1675, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 3480, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 3110, Ten: Binh, Diem: 1, Binh luan: Khong co binh luan
Ma: 6459, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 8480, Ten: An, Diem: 2, Binh luan: Can cai thien
Ma: 8419, Ten: Duy, Diem: 1, Binh luan: Hai long
Ma: 7918, Ten: Binh, Diem: 1, Binh luan: Can cai thien
Ma: 7400, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 8055, Ten: Cuong, Diem: 2, Binh luan: Hai long
Ma: 10158, Ten: Binh, Diem: 1, Binh luan: Trai nghiem kem
Ma: 5985, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 1163, Ten: Cuong, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 9735, Ten: Binh, Diem: 2, Binh luan: Trai nghiem kem
Ma: 10699, Ten: Cuong, Diem: 1, Binh luan: Khong co binh luan
Ma: 4663, Ten: An, Diem: 1, Binh luan: Can cai thien
Ma: 8246, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 8314, Ten: Em, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 7524, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 8526, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 4783, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 5132, Ten: Duy, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 3144, Ten: Binh, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 1435, Ten: Cuong, Diem: 1, Binh luan: Khong co binh luan
Ma: 2798, Ten: Binh, Diem: 1, Binh luan: Trai nghiem kem
Ma: 9768, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 2641, Ten: Em, Diem: 2, Binh luan: Can cai thien
Ma: 7029, Ten: Cuong, Diem: 1, Binh luan: Hai long
Ma: 3958, Ten: Binh, Diem: 1, Binh luan: Hai long
Ma: 9770, Ten: An, Diem: 1, Binh luan: Khong co binh luan
Ma: 1685, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 4486, Ten: Em, Diem: 1, Binh luan: Khong co binh luan
Ma: 6029, Ten: Binh, Diem: 2, Binh luan: Khong co binh luan
Ma: 7284, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 9896, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 7250, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 10400, Ten: An, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 6352, Ten: Duy, Diem: 1, Binh luan: Khong co binh luan
Ma: 10127, Ten: Cuong, Diem: 1, Binh luan: Can cai thien
Ma: 8423, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 8640, Ten: Cuong, Diem: 1, Binh luan: Can cai thien
Ma: 5940, Ten: Binh, Diem: 2, Binh luan: Hai long
Ma: 1553, Ten: Duy, Diem: 2, Binh luan: Khong co binh luan
Ma: 7515, Ten: An, Diem: 2, Binh luan: Hai long
Ma: 1565, Ten: Duy, Diem: 1, Binh luan: Khong co binh luan
Ma: 8606, Ten: Cuong, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 2262, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 1671, Ten: Duy, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 5466, Ten: An, Diem: 1, Binh luan: Can cai thien
Ma: 3886, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 8327, Ten: An, Diem: 2, Binh luan: Trai nghiem kem
Ma: 8452, Ten: An, Diem: 2, Binh luan: Trai nghiem kem
Ma: 5525, Ten: Binh, Diem: 2, Binh luan: Can cai thien
Ma: 7129, Ten: Duy, Diem: 1, Binh luan: Khong co binh luan
Ma: 3823, Ten: An, Diem: 1, Binh luan: Trai nghiem kem
Ma: 8996, Ten: Em, Diem: 2, Binh luan: Khong co binh luan
Ma: 8252, Ten: Em, Diem: 2, Binh luan: Hai long
Ma: 10041, Ten: Binh, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 5001, Ten: An, Diem: 1, Binh luan: Trai nghiem kem
Ma: 3878, Ten: Cuong, Diem: 2, Binh luan: Khong co binh luan
Ma: 9844, Ten: Binh, Diem: 2, Binh luan: Can cai thien
Ma: 8639, Ten: Binh, Diem: 1, Binh luan: Can cai thien
Ma: 3984, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 7845, Ten: An, Diem: 1, Binh luan: Can cai thien
Ma: 4278, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 9971, Ten: Em, Diem: 2, Binh luan: Trai nghiem kem
Ma: 7765, Ten: Duy, Diem: 2, Binh luan: Hai long
Ma: 8515, Ten: Binh, Diem: 2, Binh luan: Trai nghiem kem
Ma: 2267, Ten: An, Diem: 1, Binh luan: Can cai thien
Ma: 2609, Ten: Duy, Diem: 2, Binh luan: Hai long
Ma: 2224, Ten: Binh, Diem: 2, Binh luan: Khong co binh luan
Ma: 1480, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 7805, Ten: Em, Diem: 2, Binh luan: Khong co binh luan
Ma: 10810, Ten: Binh, Diem: 1, Binh luan: Trai nghiem kem
Ma: 9901, Ten: Binh, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 1984, Ten: Cuong, Diem: 1, Binh luan: Hai long
Ma: 4694, Ten: Binh, Diem: 1, Binh luan: Trai nghiem kem
Ma: 10672, Ten: Cuong, Diem: 1, Binh luan: Can cai thien
Ma: 1537, Ten: An, Diem: 1, Binh luan: Trai nghiem kem
Ma: 1742, Ten: An, Diem: 1, Binh luan: Hai long
Ma: 8086, Ten: Cuong, Diem: 1, Binh luan: Can cai thien
Ma: 4436, Ten: An, Diem: 1, Binh luan: Trai nghiem kem
Ma: 6091, Ten: Em, Diem: 2, Binh luan: Hai long
Ma: 9199, Ten: Duy, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 4257, Ten: Binh, Diem: 1, Binh luan: Khong co binh luan
Ma: 5471, Ten: Duy, Diem: 1, Binh luan: Hai long
Ma: 10648, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 2551, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 5999, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 6608, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 9961, Ten: Binh, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 9905, Ten: An, Diem: 2, Binh luan: Khong co binh luan
Ma: 4552, Ten: Duy, Diem: 1, Binh luan: Khong co binh luan
Ma: 8966, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 7036, Ten: Cuong, Diem: 2, Binh luan: Trai nghiem kem
Ma: 4740, Ten: An, Diem: 1, Binh luan: Khong co binh luan
Ma: 3337, Ten: An, Diem: 1, Binh luan: Trai nghiem kem
Ma: 5437, Ten: Em, Diem: 2, Binh luan: Trai nghiem kem
Ma: 7139, Ten: Cuong, Diem: 1, Binh luan: Khong co binh luan
Ma: 3897, Ten: Binh, Diem: 2, Binh luan: Khong co binh luan
Ma: 2722, Ten: Duy, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 2710, Ten: Duy, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 1817, Ten: Cuong, Diem: 2, Binh luan: Can cai thien
Ma: 3449, Ten: Duy, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 3780, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 7973, Ten: Em, Diem: 1, Binh luan: Hai long
Ma: 10663, Ten: Duy, Diem: 1, Binh luan: Can cai thien
Ma: 1809, Ten: Cuong, Diem: 2, Binh luan: Trai nghiem kem
Ma: 1045, Ten: Em, Diem: 2, Binh luan: Hai long
Ma: 1800, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 8965, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 8602, Ten: Em, Diem: 2, Binh luan: Trai nghiem kem
Ma: 10848, Ten: Duy, Diem: 2, Binh luan: Hai long
Ma: 6349, Ten: Duy, Diem: 1, Binh luan: Khong co binh luan
Ma: 5670, Ten: Em, Diem: 1, Binh luan: Hai long
Ma: 6092, Ten: Binh, Diem: 1, Binh luan: Trai nghiem kem
Ma: 9144, Ten: Duy, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 4438, Ten: Binh, Diem: 2, Binh luan: Hai long
Ma: 6011, Ten: Cuong, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 6850, Ten: An, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 10030, Ten: Binh, Diem: 2, Binh luan: Trai nghiem kem
Ma: 8827, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 7022, Ten: Cuong, Diem: 2, Binh luan: Dich vu tuyet voi
